"id","image","relation"
16,"http://cdn.wccftech.com/wp-content/uploads/2015/04/WWE-2K15-2.jpg","companies"
19,"http://static.giantbomb.com/uploads/scale_medium/0/7922/374739-sunsoft_logo.jpg","companies"
19,"http://66.90.91.26/album_images/10919-WALLPAPER.jpg","companies"
19,"http://pre00.deviantart.net/c215/th/pre/f/2013/304/f/4/sunsoft_joker_by_johnrokk_by_johnrokk-d6sho8w.png","companies"
19,"http://iheartyuna.files.wordpress.com/2012/07/sunsoft-games-close.jpg","companies"
19,"http://66.90.91.26/album_images/10919-WALLPAPER2.jpg","companies"
19,"http://thesegacollection.files.wordpress.com/2011/07/super-fantasy-zone-and-batman-sunsoft.jpg","companies"
19,"http://static.comicvine.com/uploads/original/13/134979/2609573-superman_game_cover.jpg","companies"
19,"http://i.ytimg.com/vi/YadfHTCan1Q/maxresdefault.jpg","companies"
19,"http://orig04.deviantart.net/b878/f/2014/223/e/7/terminator_nes__sunsoft___unreleased__reimagining_by_mrnorbert1994-d7up900.png","companies"
19,"http://batman-online.com/images/12517515026562.jpg","companies"
19,"http://www.retrogamingaus.com/wordpress/wp-content/uploads/2012/11/Aero-the-Acrobat-2.jpg","companies"
24,"http://static.giantbomb.com/uploads/scale_medium/0/3161/279186-viva.jpeg","companies"
24,"http://upload.wikimedia.org/wikipedia/commons/3/33/VivaMediaLogo2.jpg","companies"
24,"http://www.vivaloudoun.com/wp-content/uploads/2013/07/300_vivaloudlogocolor1.jpg","companies"
24,"http://c.shld.net/rpx/i/s/pi/mp/28647/prod_3204399414?src=http%3A%2F%2Fcdn.productinformation.net%2Fimages%2Fproducts%2Flarge%2F125149.jpg&d=48b33ca39723d16b24a57c94f331171ab026a2e8&hei=245&wid=245&op_sharpen=1&qlt=85","companies"
24,"http://c.shld.net/rpx/i/s/pi/mp/28647/prod_3204400314?src=http%3A%2F%2Fcdn.productinformation.net%2Fimages%2Fproducts%2Flarge%2F87384.jpg&d=144482c212510d83e0b28b21dea449a693c7c283&hei=245&wid=245&op_sharpen=1&qlt=85","companies"
24,"http://halfwheel.com/wp-content/uploads/2015/02/Viva-Republica-Logo.jpg","companies"
24,"http://ww1.prweb.com/prfiles/2009/11/09/1071934/VivaCareLogoTransparentBackground.png","companies"
24,"https://secure.static.tumblr.com/92f5859af584a9c9b280c10cdf8a6d8d/42jvcpt/NRMmsel36/tumblr_static_hd-space-wallpapers.jpg","companies"
24,"http://www.punchsoftware.com/images/punchsoftware/image.jpg","companies"
24,"http://cdn9.traderonline.com/v1/media/5594066db13a227f76179ca1.jpg?width=1024&quality=70","companies"
24,"http://ww1.prweb.com/prfiles/2011/03/16/4745504/SH0620103840x2160013.jpg","companies"
25,"http://www.djstevemartinez.com/wp-content/uploads/2014/06/mindscapeLogo.png","companies"
25,"http://2.bp.blogspot.com/-R6JqIf8ae18/VMiQZ3xIYII/AAAAAAAAWRY/Rp4pLKtnWhA/s1600/Cigs.jpeg","companies"
25,"http://www.djstevemartinez.com/wp-content/uploads/2014/05/Steve-Martinez-Image-.jpg","companies"
25,"http://s.ecrater.com/stores/161347/53cd6a40bb1b3_161347b.jpg","companies"
25,"http://cdn1.projectwedding.com/1375037230_8b3ee9be479dc1137f0bbb9d10dfc865","companies"
25,"http://40.media.tumblr.com/873436851204b543b28bdc063014f365/tumblr_nt1vok3ZO41rt1859o1_1280.jpg","companies"
25,"https://ssli.ebayimg.com/00/s/NzY4WDEwMjQ=/z/7zkAAOSwPcVVy153/$_86.JPG","companies"
25,"https://s-media-cache-ak0.pinimg.com/originals/44/66/6c/44666c77ba295f6cd20bca3eb6aef522.jpg","companies"
25,"https://ssli.ebayimg.com/00/s/NzY4WDEwMjQ=/z/8MwAAOSwyQtVy158/$_86.JPG","companies"
25,"https://ssli.ebayimg.com/00/s/NzY4WDEwMjQ=/z/vxMAAOSwMmBVy16E/$_86.JPG","companies"
25,"http://1.bp.blogspot.com/-YFFQnwy4G74/VCcB7jGhUPI/AAAAAAAAPgk/-rc7-avnu7M/s1600/New.jpeg","companies"
30,"http://static.giantbomb.com/uploads/scale_medium/0/56/184943-akella_logo.jpg","companies"
