"game","company","relation"
5155,3136,"publisher"
5155,3136,"developer"
5155,2124,"developer"
5299,1273,"publisher"
5299,2178,"publisher"
5299,3186,"developer"
5303,2050,"publisher"
5303,2050,"developer"
5304,752,"publisher"
5304,3187,"developer"
5329,66,"publisher"
5329,3603,"developer"
5344,1651,"publisher"
5344,822,"publisher"
5344,3201,"developer"
5344,1001,"developer"
5358,322,"publisher"
5358,15,"publisher"
5358,2102,"developer"
5366,658,"publisher"
5366,7426,"publisher"
5366,1993,"developer"
5366,125,"developer"
5395,82,"publisher"
5395,3213,"developer"
5474,88,"publisher"
5474,114,"developer"
5483,952,"publisher"
5483,1532,"developer"
5494,168,"publisher"
5494,8481,"publisher"
5494,876,"developer"
5524,3,"publisher"
5524,367,"developer"
5524,2344,"developer"
5562,299,"publisher"
5562,299,"developer"
5612,3445,"publisher"
5612,3267,"developer"
5647,479,"publisher"
5647,656,"developer"
5694,552,"publisher"
5694,67,"publisher"
5694,552,"developer"
5705,62,"publisher"
5705,1109,"developer"
5705,3024,"developer"
5706,1058,"publisher"
5706,651,"publisher"
5706,651,"developer"
5809,272,"publisher"
5809,797,"developer"
5840,152,"publisher"
5840,152,"developer"
5855,1785,"publisher"
5855,1651,"publisher"
5855,3326,"developer"
5885,7420,"publisher"
5885,328,"publisher"
5885,328,"developer"
5892,62,"publisher"
5892,2793,"developer"
5900,1097,"publisher"
5900,1097,"developer"
5919,68,"publisher"
5919,152,"developer"
5926,822,"publisher"
6006,48,"publisher"
6006,217,"developer"
6100,346,"publisher"
6100,346,"developer"
6165,3219,"publisher"
6165,3219,"developer"
6204,922,"publisher"
6204,6577,"developer"
6204,922,"developer"
6235,66,"publisher"
6235,149,"publisher"
6235,7856,"developer"
6235,149,"developer"
6279,6255,"publisher"
6279,1,"publisher"
6279,422,"developer"
6279,1838,"developer"
6297,367,"publisher"
6297,176,"publisher"
6297,3464,"developer"
6346,322,"publisher"
6346,1154,"publisher"
6346,3519,"developer"
6346,1154,"developer"
6357,580,"publisher"
6357,1154,"developer"
6442,1,"publisher"
6442,41,"developer"
6496,367,"publisher"
6496,67,"publisher"
6496,367,"developer"
6506,3280,"publisher"
6506,3523,"developer"
6517,873,"publisher"
6517,448,"developer"
6553,168,"publisher"
6553,152,"developer"
6582,30,"publisher"
6582,340,"publisher"
6582,3553,"developer"
6582,1084,"developer"
6585,165,"publisher"
6585,176,"publisher"
6585,3555,"developer"
6594,431,"publisher"
6594,1256,"publisher"
6594,749,"developer"
6594,748,"developer"
6614,479,"publisher"
6614,33,"developer"
6681,367,"publisher"
6681,703,"developer"
6688,1152,"publisher"
6688,476,"developer"
6795,580,"publisher"
6795,981,"publisher"
6795,98,"developer"
6803,6983,"publisher"
6803,172,"developer"
6803,6983,"developer"
6810,67,"publisher"
6810,2194,"developer"
6810,1892,"developer"
6817,797,"publisher"
6817,798,"developer"
6907,185,"publisher"
6907,448,"developer"
6919,1753,"publisher"
6919,530,"developer"
6948,505,"publisher"
6948,34,"developer"
6993,1545,"publisher"
6993,2050,"developer"
7042,1654,"publisher"
7042,8156,"publisher"
7042,892,"developer"
7042,480,"developer"
7125,1385,"publisher"
7125,323,"publisher"
7125,2416,"developer"
7126,168,"publisher"
7126,892,"developer"
7143,8,"publisher"
7143,3718,"developer"
7146,30,"publisher"
7146,674,"developer"
7164,2038,"publisher"
7164,2038,"developer"
7337,1030,"publisher"
7337,6398,"publisher"
7337,1331,"developer"
7346,966,"publisher"
7346,966,"developer"
7347,165,"publisher"
7347,865,"developer"
7360,658,"publisher"
7360,104,"publisher"
7360,221,"developer"
7408,1394,"publisher"
7408,1394,"developer"
7423,4849,"publisher"
7423,1221,"publisher"
7423,1221,"developer"
7449,5,"publisher"
7449,1213,"publisher"
7449,5,"developer"
7474,2038,"publisher"
